SR. NO.,CLIENT NAME,LIST OF COMPANY,LOCATION,SOURCE COMPANY,Sourcelocation,,LIST OF COMPANY
17,ALIZADEH,BLUE LAND FZE,"Sharjah, United Arab Emirates",BINA TRADING INDONESIA,"Jakarta, Indonesia",,BLUE LAND FZE
17,ALIZADEH,NORTH GULF FZE,"Sharjah, United Arab Emirates",PEGASOS PETROCHEMICAL GAS AND OIL SUPPLIES E.K.,"Hamburg, Germany",,NORTH GULF FZE
17,ALIZADEH,SUPER POWER GENERAL TRADING,"Ajman, United Arab Emirates",SMERWICK LTD.,"Taipei, Taiwan",,SUPER POWER GENERAL TRADING
17,ALIZADEH, JYANE BAU UND GEN UNTERNEHMUNG FZE,"Ajman, United Arab Emirates",QARSHI EXPORT IMPORT BIZNEZ LLC,"Kashkadarya Region, Uzbekistan",, JYANE BAU UND GEN UNTERNEHMUNG FZE
17,ALIZADEH, BLUE GULF FZE,"Sharjah, United Arab Emirates",WINTEK SEALING INDUSTRIAL CO. LTD,"Nantou County, Taiwan",, BLUE GULF FZE
17,ALIZADEH, TRADE GULF FZE,"Sharjah, United Arab Emirates",CZECH TRADE PROMOTION AGENCY,"Prague 2, Czech Republic",, TRADE GULF FZE
17,ALIZADEH, IBS INTERNATIONAL GENERAL TRADING LLC,"Dubai, United Arab Emirates",SAI INTERNATIONAL TRADING COMPANY,"Kerala, India",, IBS INTERNATIONAL GENERAL TRADING LLC
17,ALIZADEH, GOLDEN CORAL LLC,"Sharjah, United Arab Emirates",ERUDITE GENERAL TRADING SND BHD ,"Jalan Jaya Negara, Brunei ",, GOLDEN CORAL LLC
17,ALIZADEH, SOLAR INTERNATIONAL FZE >>>  (NO LETTERHEAD),"Ras Al Khaimah, United Arab Emirates",SHANGHAI MINMETALS DEVELOPMENT LTD,"Shanghai, China",, SOLAR INTERNATIONAL FZE >>>  (NO LETTERHEAD)
17,ALIZADEH, SOUTH GULF FZE,"Sharjah, United Arab Emirates",SEKWANG CORPORATION CO. LTD ,"Naju, South Korea",, SOUTH GULF FZE
17,ALIZADEH, VISION TRADING INTERNATIONAL FZE,"Dubai, United Arab Emirates","SHANGHAI TOHAN INTERNATIONAL TRADING CO., LTD","Shanghai, China",, VISION TRADING INTERNATIONAL FZE
17,ALIZADEH, JYAN BAU GENERAL FZE,"Sharjah, United Arab Emirates",UNIMECH INDUSTRIES (P) LTD.,"Coimbatore, India",, JYAN BAU GENERAL FZE
17,ALIZADEH, JYANE BAU GEN UNTERNEHMUNG FZE,"Sharjah, United Arab Emirates",NEW YEW SENG (KL) SDN BHD,"Selangor Darul Ehsan, Malaysia",, JYANE BAU GEN UNTERNEHMUNG FZE
18,ANACO,ANACO GENERAL TRADING LLC,"Dubai, United Arab Emirates",SZ KETA TECHNOLOGY CO LTD,"Guandong, China",,ANACO GENERAL TRADING LLC
20,BAVI,BAVI GENERAL TRADING CO (LLC),"Dubai, United Arab Emirates",GANSU HUAJUN BUILDING MATERIAL CO LTD,"Gansu, China",,BAVI GENERAL TRADING CO (LLC)
21,HELENA,HELENA ELECTRONICS TRADING LLC,"Dubai, United Arab Emirates",SEDIOS INTERNATIONAL TRADING,"Tokyo, Japan",,HELENA ELECTRONICS TRADING LLC
