SR. NO.,CLIENT NAME,LIST OF COMPANY,LOCATION,SOURCE COMPANY,
,,11. MOON POWER HEAVY EQUIPMENT TRADING LLC,"Dubai, United Arab Emirates","SUNSHOW INDUSTRY LIMITED - HONGKONG, CHINA",
,,12. HARDWARE GENERAL TRADING,"Dubai, United Arab Emirates",,
25.00,TRADE MAX,1. TRADE MAX GENERAL TRADING,"Dubai, United Arab Emirates",,
26.00,ADVANCE TECH,1. ADVANCE TECHNOLOGY CORPORATION CO LLC,"Dubai, United Arab Emirates",,
,,2. APEX COMPUTER SOLUTION CO LLC,"Dubai, United Arab Emirates",,
,,3. VENTURE GLOBAL,"Dubai, United Arab Emirates",,
27.00,SADAT,1. C T A GENERAL TRADING LLC,"Dubai, United Arab Emirates","LAADER BERG AS - Alesund, Norway",
,,2. GLTA FOODSTUFF TRADING LLC,"Dubai, United Arab Emirates","BELL CARTER FOODS INC - California, United States",
,,3. RAIN LINK GENERAL TRADING LLC,"Dubai, United Arab Emirates","ELEVATOR COMPONENTS INTERNATIONAL TRADING CO LTD - Wuhan, China",
,,4. STEEL MAN GENERAL TRADING ,"Dubai, United Arab Emirates","SKY PLASTIC GROUP AG - Volkermarkt, Austria",
28.00,TANZEEM,1. TANZEEM GENERAL TRADING,"Dubai, United Arab Emirates",,
29.00,PEYMAN ,1. RED LINE FZE,"Sharjah, United Arab Emirates","PACER TECHNOLOGY CO LTD - TAICHUNG, TAIWAN",
,,2. BLUELAND FZE,"Sharjah, United Arab Emirates","AERZENER MASCHINENFABRIK GMBH -  Hamburg, Germany",
,,3. SOHAIL & RAOOF COMMERCIAL BROKER LLC,"Dubai, United Arab Emirates","SHANGHAI FAVORS IMPORT & EXPORT CO LTD - SHANGHAI, CHINA",
,,4. PEYMAN  GENERAL TRADING LLC,"Dubai, United Arab Emirates","FIVE TECHNOLOGY CO LTD  SHANGHAI, CHINA",
,,5. ALFRASHA ALTHAHABIA ELECTRONICS TRADING LLC,"Dubai, United Arab Emirates",,
